AFFYMETRIX_3PRIME_IVT_ID	Name	Species
229819_at	alpha-1-B glycoprotein(A1BG)	Homo sapiens
217757_at	alpha-2-macroglobulin(A2M)	Homo sapiens
1558450_at	alpha-2-macroglobulin(A2M)	Homo sapiens
236394_at	alpha-2-macroglobulin pseudogene 1(A2MP1)	Homo sapiens
235244_at	mitochondrial matrix import factor 23(MIX23)	Homo sapiens
214440_at	N-acetyltransferase 1(NAT1)	Homo sapiens
206797_at	N-acetyltransferase 2(NAT2)	Homo sapiens
202376_at	serpin family A member 3(SERPINA3)	Homo sapiens
205969_at	arylacetamide deacetylase(AADAC)	Homo sapiens
201511_at	angio associated migratory cell protein(AAMP)	Homo sapiens
207225_at	aralkylamine N-acetyltransferase(AANAT)	Homo sapiens
201000_at	alanyl-tRNA synthetase 1(AARS1)	Homo sapiens
1553338_at	SDE2 telomere maintenance homolog(SDE2)	Homo sapiens
244103_at	SDE2 telomere maintenance homolog(SDE2)	Homo sapiens
209459_s_at	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens
209460_at	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens
206527_at	4-aminobutyrate aminotransferase(ABAT)	Homo sapiens
203504_s_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
1570279_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
203505_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
216066_at	ATP binding cassette subfamily A member 1(ABCA1)	Homo sapiens
210100_s_at	ATP binding cassette subfamily A member 2(ABCA2)	Homo sapiens
210099_at	ATP binding cassette subfamily A member 2(ABCA2)	Homo sapiens
212772_s_at	ATP binding cassette subfamily A member 2(ABCA2)	Homo sapiens
204343_at	ATP binding cassette subfamily A member 3(ABCA3)	Homo sapiens
209620_s_at	ATP binding cassette subfamily B member 7(ABCB7)	Homo sapiens
200045_at	ATP binding cassette subfamily F member 1(ABCF1)	Homo sapiens
210082_at	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens
1569102_at	ATP binding cassette subfamily A member 4(ABCA4)	Homo sapiens
202123_s_at	ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)	Homo sapiens
1552742_at	potassium voltage-gated channel subfamily H member 8(KCNH8)	Homo sapiens
203559_s_at	amine oxidase copper containing 1(AOC1)	Homo sapiens
206411_s_at	ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)	Homo sapiens
